"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Patrick Beverley","Philadelphia 76ers","Vet",15.1,97.3,3,1.6,1.7,0.4,0.3,0.6,0.6,2.9,0.6,1.9,0.4,1.8,2023-11-02
"Damion Lee","Phoenix Suns","Vet",9.2,97.8,3,0.5,1.1,0.2,0.1,0.2,0.4,2.6,0.6,1.4,0.4,0.9,2023-11-02
"Sandro Mamukelashvili","San Antonio Spurs","Sophomore",7.2,100.4,3,0.6,1.2,0.7,0.2,0.2,0.5,2.6,0.7,1,1,0.6,2023-11-02
"Derrick Jones Jr.","Dallas Mavericks","Vet",9.3,98.1,2.9,0.4,1,0.6,0.3,0.3,0.4,2.2,0.7,1,1.2,1.1,2023-11-02
"Bol Bol","Phoenix Suns","Vet",7.9,99.6,2.9,0.5,1.6,0.4,0.4,0.2,0.6,2.5,0.6,0.8,0.8,0.7,2023-11-02
"Justin Minaya","Portland Trail Blazers","Rookie",9.6,98.9,2.9,0.6,1.2,0.4,0.3,0.3,0.4,2.3,0.6,1.3,0.7,1.1,2023-11-02
"Moses Moody","Golden State Warriors","Sophomore",7.5,98.6,2.8,0.4,0.8,0.3,0.1,0.2,0.3,2,0.5,1,0.6,0.7,2023-11-02
"P.J. Tucker","Philadelphia 76ers","Vet",17.7,95.4,2.8,0.7,1.9,0.9,0.2,0.5,0.5,2.5,0.4,1.7,0.5,2,2023-11-02
"JaVale McGee","Sacramento Kings","Vet",6.5,98.3,2.8,0.3,1.4,0.7,0.5,0.1,0.5,2,0.7,0.2,1.1,1.8,2023-11-02
"Blake Wesley","San Antonio Spurs","Rookie",10.4,99.9,2.8,1.5,1,0.2,0.1,0.4,0.9,3,0.7,0.7,1,1,2023-11-02
"Dante Exum","Dallas Mavericks","Vet",8.8,97.7,2.7,0.8,1,0.2,0.1,0.2,0.5,2.3,0.6,0.9,0.6,0.9,2023-11-02
"E.J. Liddell","New Orleans Pelicans",NA,7.6,98,2.7,0.6,0.9,0.4,0.1,0.2,0.4,2.4,0.7,0.9,0.8,0.8,2023-11-02
"Jared Rhoden","Detroit Pistons","Rookie",9.6,97.7,2.7,0.4,1.1,0.5,0.1,0.3,0.3,2.1,0.5,1,0.6,1.1,2023-11-02
"Ish Smith","Charlotte Hornets","Vet",9.4,97.6,2.7,2,1,0.2,0.2,0.3,0.7,3.1,0.2,0.5,0.4,0.9,2023-11-02
"Gary Payton II","Golden State Warriors","Vet",8.2,98.2,2.6,0.5,1,0.6,0.2,0.5,0.4,1.9,0.4,0.5,1,1,2023-11-02
"Mike Muscala","Washington Wizards","Vet",6.9,98.8,2.6,0.3,1.1,0.3,0.2,0.1,0.3,2,0.4,1.3,0.2,0.8,2023-11-02
"John Konchar","Memphis Grizzlies","Vet",14.3,99.3,2.6,0.9,2.2,0.8,0.3,0.7,0.5,2.5,0.5,1.2,1,1.3,2023-11-02
"Joe Ingles","Orlando Magic","Vet",10.1,99.2,2.6,1.2,1,0.1,0.1,0.3,0.5,2.2,0.2,1.8,0.2,0.9,2023-11-02
"Charles Bassey","San Antonio Spurs","Sophomore",7.1,99.6,2.6,0.5,1.5,0.8,0.4,0.2,0.5,2.1,0.5,0,1.1,1.8,2023-11-02
"Ousmane Dieng","Oklahoma City Thunder","Rookie",7,99.1,2.6,0.5,1.1,0.3,0.1,0.2,0.4,2.3,0.4,1.1,0.7,0.6,2023-11-02
"Goga Bitadze","Orlando Magic","Vet",6.8,98,2.5,0.4,1.2,0.8,0.4,0.2,0.4,1.9,0.7,0.4,1,1,2023-11-02
"Sam Hauser","Boston Celtics","Sophomore",7.2,98.2,2.5,0.4,0.9,0.2,0.1,0.2,0.2,2.2,0.2,1.8,0.2,0.7,2023-11-02
"Richaun Holmes","Dallas Mavericks","Vet",7,98.3,2.5,0.3,1.1,0.6,0.3,0.1,0.4,2,0.5,0.4,0.9,1.8,2023-11-02
"Jordan Goodwin","Phoenix Suns","Sophomore",6.6,98.8,2.5,1,0.8,0.3,0.1,0.3,0.4,2.2,0.5,0.8,0.5,0.6,2023-11-02
"Luka Samanic","Utah Jazz","Vet",6.3,100.1,2.5,0.4,1,0.2,0.1,0.2,0.3,2.1,0.5,1.1,0.6,0.7,2023-11-02
"Bruno Fernando","Atlanta Hawks","Vet",6.1,97.7,2.5,0.3,1.2,0.7,0.4,0.1,0.4,1.9,0.8,0.3,0.9,1.7,2023-11-02
"Robert Covington","Los Angeles Clippers","Vet",7.7,97.8,2.4,0.4,1.3,0.3,0.3,0.4,0.3,2.1,0.4,1.2,0.5,1,2023-11-02
"Davis Bertans","Oklahoma City Thunder","Vet",6.2,99.1,2.4,0.3,0.7,0.1,0.1,0.2,0.2,1.9,0.2,1.5,0.2,0.8,2023-11-02
"Boban Marjanovic","Houston Rockets","Vet",5.1,97.4,2.4,0.2,1.2,0.6,0.1,0.1,0.3,1.9,0.6,0,0.8,0.8,2023-11-02
"Dyson Daniels","New Orleans Pelicans","Rookie",10.5,98,2.4,1.3,1.4,0.4,0.1,0.4,0.7,2.3,0.6,0.9,0.7,1.1,2023-11-02
"A.J. Green","Milwaukee Bucks","Rookie",6.4,98.4,2.4,0.4,0.7,0.1,0,0.2,0.3,2.1,0.3,1.6,0.2,0.6,2023-11-02
"Zeke Nnaji","Denver Nuggets","Vet",6.3,97.5,2.3,0.2,0.8,0.5,0.2,0.2,0.4,1.8,0.6,0.8,0.9,1,2023-11-02
"Kessler Edwards","Sacramento Kings","Sophomore",8.1,98.5,2.3,0.5,0.9,0.4,0.2,0.3,0.4,2,0.4,1,0.5,0.9,2023-11-02
"Jordan Ford","Sacramento Kings",NA,6.4,97.7,2.3,1,0.5,0.1,0,0.3,0.4,2.1,0.4,1.1,0.4,0.6,2023-11-02
"Matt Ryan","New Orleans Pelicans","Sophomore",6.4,98.6,2.3,0.4,0.6,0.2,0.1,0.2,0.3,2,0.4,1.3,0.3,0.6,2023-11-02
