PLAYER,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$
"Alex Caruso
ChiPG",201,,28.4,0.435,0.773,7.2,1,3.6,3.7,1.7,0.7,1.4,2.5,5.7,1.2,1.5,
"Jalen Smith
IndPF",202,,17.8,0.484,0.76,8.9,0.8,5.6,0.8,0.3,0.8,0.9,3.3,6.9,1.4,1.9,
"Talen Horton-Tucker
UtahSG",203,,21.6,0.423,0.764,10.3,0.8,3.1,3.3,0.8,0.4,1.7,3.8,9,1.8,2.4,
"Killian Hayes
DetPG",204,,24.1,0.376,0.807,8,0.8,2.6,4.9,1.1,0.4,1.9,3.1,8.3,1,1.2,
"Eric Gordon
LACSG",205,,25.9,0.453,0.814,11.7,1.8,1.8,2.4,0.5,0.3,1.5,4,8.9,1.9,2.3,
"Marcus Morris Sr.
LACPF",206,,25.2,0.435,0.821,11.3,1.7,3.7,1.6,0.5,0.3,0.9,4.2,9.6,1.3,1.6,
"Aleksej PokusevskiDTD
OKCPF",207,,25.3,0.438,0.696,10.1,1.3,5.9,2.5,0.7,1.1,1.8,4,9.2,0.8,1.1,
"Coby White
ChiPG",208,,25.7,0.434,0.872,11.3,1.9,3.1,3.1,0.6,0.1,1.2,4.1,9.5,1.1,1.3,
"Luke KennardDTD
MemSG",209,,24,0.474,0.932,10.2,2.4,2.9,1.7,0.6,0.1,0.8,3.5,7.4,0.7,0.8,
"Jaylen Nowell
MinSG",210,,19.5,0.45,0.778,10.8,1.1,2.6,2.1,0.6,0.1,0.9,4.2,9.4,1.2,1.6,
"Cam Thomas
BknSG",211,,24.4,0.441,0.865,15.1,1.3,2.6,2,0.5,0.2,1.6,5.1,11.6,3.6,4.2,
"Andre Drummond
ChiC",212,,16.5,0.567,0.548,7.6,0,8.1,1.1,0.9,0.6,1.4,3.2,5.6,1.3,2.3,
"Will Barton
TorSF",213,,24.6,0.415,0.795,10.5,1.6,3.5,2.8,0.7,0.3,1.3,3.9,9.3,1.1,1.4,
"Chris Duarte
SacSG",214,,22.4,0.397,0.832,9.6,1.4,3,1.6,0.7,0.2,1.1,3.4,8.6,1.4,1.7,
"Nassir LittleDTD
PorSF",215,,25.2,0.45,0.739,9.3,1.3,4.4,1.2,0.5,0.6,0.9,3.4,7.5,1.2,1.6,
"Dorian Finney-SmithDTD
BknSF",216,,29.7,0.405,0.746,8.4,1.7,4.6,1.5,0.8,0.5,0.9,3,7.4,0.7,0.9,
"Kevin Love
MiaPF",217,,21.2,0.408,0.855,10.4,2,6.8,2,0.3,0.2,1.2,3.4,8.3,1.6,1.9,
"Alec BurksDTD
DetSG",218,,22.1,0.436,0.813,12.8,1.9,3.1,2.2,0.7,0.2,1.1,3.9,9,3,3.7,
"Mo Bamba
PhiC",219,,18,0.48,0.703,7.6,1.1,5.6,0.9,0.3,1.1,0.8,2.9,6,0.8,1.1,
"Kenrich WilliamsDTD
OKCSF",220,,22.3,0.504,0.492,7.9,0.9,4.6,2.1,0.9,0.2,0.8,3.3,6.5,0.4,0.9,
"Patrick Beverley
PhiPG",221,,24.1,0.403,0.729,6.7,1.2,3.5,3.1,0.9,0.7,0.9,2.3,5.6,0.9,1.3,
"Thomas Bryant
MiaC",222,,18.3,0.607,0.754,9.5,0.4,5.4,0.6,0.3,0.6,0.7,3.8,6.2,1.5,2,
"DeMarcus Cousins
DenC",223,,0,0.449,0.752,0,0,0,0,0,0,0,0,0,0,0,
"Jose AlvaradoDTD
NOPG",224,,20.7,0.415,0.798,8.7,1.3,2.3,3,1.1,0.2,1.2,3.2,7.7,1,1.3,
"Obi Toppin
IndPF",225,,24.4,0.48,0.77,11.8,1.5,4.7,1.5,0.5,0.4,1,4.5,9.4,1.2,1.6,
