"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Taylor Hendricks","Utah Jazz","Sophomore",5.4,98.3,1.7,0.2,0.8,0.3,0.2,0.2,0.2,1.4,0.2,0.9,0.2,0.5,2024-11-12
"Jett Howard","Orlando Magic","Sophomore",4.1,98.1,1.7,0.2,0.4,0.1,0.1,0.1,0.1,1.6,0.1,1.3,0.1,0.3,2024-11-12
"Dante Exum","Dallas Mavericks","Vet",4.8,97.7,1.6,0.5,0.5,0.1,0,0.1,0.2,1.3,0.2,0.6,0.4,0.4,2024-11-12
"Josh Minott","Minnesota Timberwolves","Vet",4.6,100.3,1.6,0.2,0.7,0.2,0.2,0.1,0.2,1.2,0.3,0.5,0.5,0.5,2024-11-12
"Shake Milton","Brooklyn Nets","Vet",5.7,96.2,1.6,0.5,0.5,0.1,0.1,0.1,0.2,1.4,0.3,0.8,0.2,0.5,2024-11-12
"David Roddy","Atlanta Hawks","Vet",4.8,99.8,1.6,0.4,0.8,0.2,0.1,0.1,0.3,1.2,0.3,0.6,0.4,0.3,2024-11-12
"Anthony Gill","Washington Wizards","Vet",4.1,98.1,1.5,0.3,0.5,0.3,0.1,0.1,0.2,1.3,0.4,0.4,0.5,0.5,2024-11-12
"Jabari Walker","Portland Trail Blazers","Vet",3.9,98.4,1.5,0.2,0.8,0.3,0,0.1,0.2,1.2,0.4,0.3,0.5,0.5,2024-11-12
"Alex Len","Sacramento Kings","Vet",5.8,97.3,1.4,0.5,1.2,0.5,0.4,0.1,0.3,0.9,0.4,0.2,0.5,0.9,2024-11-12
"Chris Duarte","Chicago Bulls","Vet",3.4,97.7,1.4,0.2,0.4,0.1,0,0.1,0.2,1.1,0.3,0.8,0.2,0.3,2024-11-12
"Josh Christopher","Miami Heat","Vet",3.2,98.3,1.4,0.3,0.3,0.1,0.1,0.1,0.2,1.2,0.2,0.4,0.3,0.3,2024-11-12
"Alec Burks","Miami Heat","Vet",3.1,96.2,1.4,0.3,0.3,0.1,0,0.1,0.1,1.1,0.3,0.7,0.1,0.2,2024-11-12
"Kai Jones","Los Angeles Clippers","Vet",4.7,96.6,1.4,0.2,0.7,0.4,0.3,0.1,0.2,0.9,0.3,0.1,0.6,0.6,2024-11-12
"Ben Simmons","Brooklyn Nets","Vet",5.2,96.6,1.3,1.2,1,0.3,0.1,0.2,0.5,1,0.3,0.1,0.6,0.6,2024-11-12
"Jae'Sean Tate","Houston Rockets","Vet",4.2,98.4,1.3,0.3,0.6,0.3,0.1,0.2,0.2,1.1,0.3,0.3,0.4,0.6,2024-11-12
"Jevon Carter","Chicago Bulls","Vet",3.8,98.2,1.3,0.4,0.3,0.1,0,0.1,0.1,1.3,0.1,0.8,0.1,0.3,2024-11-12
"Justin Minaya","Portland Trail Blazers","Vet",5.4,96.5,1.3,0.3,0.5,0.3,0.1,0.1,0.2,1.1,0.2,0.8,0.3,0.6,2024-11-12
"Taj Gibson","Charlotte Hornets","Vet",5.2,97.3,1.3,0.2,0.8,0.5,0.2,0.1,0.2,1.1,0.2,0.2,0.5,0.9,2024-11-12
"Jarred Vanderbilt","Los Angeles Lakers","Vet",4.3,98.4,1.2,0.3,0.7,0.3,0.1,0.2,0.2,1,0.3,0.3,0.5,0.4,2024-11-12
"Charles Bassey","San Antonio Spurs","Vet",3.3,97.7,1.2,0.3,0.8,0.3,0.2,0.1,0.2,0.8,0.2,0.1,0.5,0.5,2024-11-12
"Jordan McLaughlin","Sacramento Kings","Vet",4.2,96.7,1.2,0.6,0.4,0.1,0,0.2,0.2,1,0.2,0.6,0.2,0.3,2024-11-12
"Matisse Thybulle","Portland Trail Blazers","Vet",5.3,97.2,1.2,0.3,0.4,0.1,0.2,0.3,0.2,1.2,0.1,0.8,0.2,0.4,2024-11-12
